Lat;Lon;alfa
-8.34208;112.33708;-167.9876
-8.34125;112.33708;-167.9876
-8.34125;112.33708;-167.9876
-8.29042;112.33042;-167.9876
-8.28708;112.32958;-167.9876
-8.26958;112.32625;-167.9876
-8.26958;112.32542;-167.9876
-8.26875;112.32542;-167.9876
-8.25708;112.32375;-167.9876
-8.25708;112.32292;-167.9876
-8.25458;112.32292;-167.9876
-8.24375;112.31958;-167.9876
-8.24375;112.31875;-167.9876
-8.23292;112.31625;-167.9876
-8.22542;112.31458;-167.9876
-8.21125;112.31208;-167.9876
-8.19042;112.30708;-167.9876
-8.19042;112.30708;-167.9876
-8.18125;112.30458;-167.9876
-8.18125;112.30458;-167.9876
-8.17375;112.30292;-167.9876
-8.17292;112.30292;-167.9876
-8.17208;112.30292;-167.9876
-8.17042;112.30208;-167.9876
-8.16875;112.30208;-167.9876
-8.16792;112.30125;-167.9876
-8.16292;112.30042;-167.9876
-8.16208;112.30042;-167.9876
-8.15458;112.29875;-167.9876
-8.15458;112.29875;-167.9876
-8.13708;112.29458;-167.9876
