Lat;Lon;LOS_DES
-8.28708;112.32958;-1.7526
-8.26958;112.32625;-1.2407
-8.26958;112.32542;-1.2663
-8.26875;112.32542;-1.1489
-8.25708;112.32375;-1.7577
-8.25708;112.32292;-1.8607
-8.25458;112.32292;-2.0924
-8.24375;112.31958;-0.7554
-8.24375;112.31875;0.8502
-8.23292;112.31625;-1.0439
-8.22542;112.31458;-0.6045
-8.21125;112.31208;-1.4701
-8.19042;112.30708;-0.933
-8.19042;112.30708;-0.933
-8.18125;112.30458;-0.3895
-8.18125;112.30458;-0.3895
-8.17375;112.30292;-0.165
-8.17292;112.30292;-0.3942
-8.17208;112.30292;-0.5278
-8.17042;112.30208;-0.6627
-8.16875;112.30208;-0.5847
-8.16792;112.30125;-1.0179
-8.16292;112.30042;-0.4536
-8.16208;112.30042;-0.7839
-8.15458;112.29875;0.1311
-8.15458;112.29875;0.1311
-8.13708;112.29458;-0.559
-8.13542;112.29458;-0.6156
-8.13458;112.29458;-0.4912
-8.13458;112.29458;-0.4912
-8.13375;112.29458;-1.0299
-8.13292;112.29375;0.0014
-8.13125;112.29375;-0.7236
